episode_id,folder,path,n_frames,n_engaged,engaged_frac,duration_s,success,seed,mode,color_bin_mapping,has_intent,gaze_valid_frac,gaze_valid_engaged,has_state,cameras,has_images,n_objects,n_bins,rate_hz,image_scale,schema_version,error
085,085,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\085\episode.hdf5,1678,1602,0.955,55.9,success,1114587503,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.981,0.981,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
086,086,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\086\episode.hdf5,2436,2381,0.977,81.167,success,1903872286,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.974,0.975,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
087,087,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\087\episode.hdf5,2476,2341,0.945,82.5,success,310384174,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.983,0.982,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
088,088,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\088\episode.hdf5,1740,1656,0.952,57.967,success,867173746,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.989,0.989,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
089,089,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\089\episode.hdf5,2244,2187,0.975,74.767,success,1515401358,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.983,0.982,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
090,090,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\090\episode.hdf5,2133,2042,0.957,71.067,success,1706421439,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.993,0.993,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
091,091,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\091\episode.hdf5,1876,1784,0.951,62.5,success,1027496002,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.963,0.961,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
092,092,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\092\episode.hdf5,3864,2073,0.536,128.767,success,1227584093,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.988,0.977,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
093,093,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\093\episode.hdf5,1761,1689,0.959,58.667,failure,56831995,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.991,0.991,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
094,094,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\094\episode.hdf5,1850,1747,0.944,61.633,success,620209853,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.989,0.989,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
